"","RVSN_ADDR_CD","year","misc_n","misc_cost","misc_case","deliv_n","deliv_cost","deliv_case","N46_n","N97_n","O00_n","O01_n","O02_n","O03_n","O05_n","O06_n","O08_n","O80_n","O81_n","O82_n","O83_n","O84_n","Z32_n","O04_n","NA_n","O07_n","N46_cost","N97_cost","O00_cost","O01_cost","O02_cost","O03_cost","O05_cost","O06_cost","O08_cost","O80_cost","O81_cost","O82_cost","O83_cost","O84_cost","Z32_cost","O04_cost","NA_cost","O07_cost","N46_case","N97_case","O00_case","O01_case","O02_case","O03_case","O05_case","O06_case","O08_case","O80_case","O81_case","O82_case","O83_case","O84_case","Z32_case","O04_case","NA_case","O07_case"
"851",43720,2021,11,6540680,38,15,30408400,15,29,45,3,0,6,2,0,0,0,5,0,8,2,0,3,0,0,0,2224670,100509110,3081870,0,3301030,157780,0,0,0,8400310,0,19078780,2929310,0,592880,0,0,0,42,551,13,0,22,3,0,0,0,5,0,8,2,0,5,0,0,0
"852",43720,2022,8,5106980,26,11,24890940,11,27,35,1,0,5,2,0,0,0,4,0,7,0,0,0,0,0,0,2298470,84346430,2578030,0,2376300,152650,0,0,0,7719300,0,17171640,0,0,0,0,0,0,40,415,5,0,17,4,0,0,0,4,0,7,0,0,0,0,0,0
"853",43720,2023,7,2298660,11,20,62139520,21,22,40,2,0,3,2,0,0,0,3,0,16,0,1,1,0,0,0,7449040,78894320,768630,0,1428580,101450,0,0,0,5777730,0,53843350,0,2518440,368350,0,0,0,36,351,2,0,7,2,0,0,0,3,0,17,0,1,8,0,0,0
"854",43730,2018,21,7824770,56,4,5924490,5,36,75,4,0,10,4,0,0,2,3,0,1,0,0,0,1,0,0,4192770,62390180,460460,0,2501470,4686410,0,0,58350,3830010,0,2094480,0,0,0,118080,0,0,62,646,15,0,27,8,0,0,3,4,0,1,0,0,0,3,0,0
"855",43730,2019,21,11304610,61,21,41973640,25,37,84,8,0,8,4,0,1,0,9,0,11,1,0,3,0,0,0,2427180,41663710,6682580,0,4027140,474140,0,120750,0,14924270,0,24916870,2132500,0,673990,0,0,0,50,510,26,0,24,9,0,2,0,10,0,14,1,0,4,0,0,0
"856",43730,2020,10,3194620,24,24,52708270,29,19,65,1,0,8,0,0,0,1,10,2,11,0,1,1,0,0,0,912300,43825970,372800,0,2525680,0,0,0,296140,18193800,4407050,27864140,0,2243280,34400,0,0,0,20,377,2,0,21,0,0,0,1,12,2,14,0,1,2,0,0,0
"857",43730,2021,20,12207240,66,30,66776410,40,25,67,4,0,12,2,0,2,0,10,1,19,0,0,1,0,0,0,4616230,47553060,6243040,0,5836120,59880,0,68200,0,19415960,2879640,44480810,0,0,66960,0,0,0,44,392,21,0,40,3,0,2,0,11,1,28,0,0,1,0,0,0
"858",43730,2022,12,4675840,30,24,61464920,34,27,70,2,0,6,3,0,1,0,2,0,21,1,0,1,0,0,0,2683330,86930420,1058360,0,3492850,85300,0,39330,0,4102750,0,55768290,1593880,0,466920,0,0,0,52,581,8,0,18,3,0,1,0,2,0,31,1,0,5,0,0,0
"859",43730,2023,9,3494650,24,26,70526710,31,25,59,3,0,6,0,0,0,0,4,1,19,1,1,3,0,0,0,3992520,96366530,535380,0,2959270,0,0,0,0,8833990,2066740,53225200,2566940,3833840,2599150,0,0,0,43,484,8,0,16,0,0,0,0,4,1,24,1,1,6,0,0,0
"860",43740,2018,10,8465870,27,13,24544200,15,50,70,2,0,8,0,0,0,0,5,0,8,0,0,4,0,0,0,5008530,57297960,5501090,0,2964780,0,0,0,0,8205960,0,16338240,0,0,216240,0,0,0,77,452,6,0,21,0,0,0,0,6,0,9,0,0,5,0,0,0
"861",43740,2019,10,2588940,29,32,61374120,40,31,56,3,0,5,2,0,0,0,18,1,13,0,0,4,0,0,0,5966720,42027070,938560,0,1565210,85170,0,0,0,30326310,1851900,29195910,0,0,1602880,0,0,0,56,294,9,0,16,4,0,0,0,25,1,14,0,0,11,0,0,0
